,,,,,,,,,,,,Collateral Details,Plate Number,Financier
,,,,,,,,,,,,Daihatsu Agya g 1.0 MT,B1377ZFU,Modalku
,,,,,,,,,,,,Honda Mobilio e AT,B303AII,Modalku
,,,,,,,,,,,,Daihatsu Gran Max D 1.3 MT,B1993PVK,Modalku
,,,,,,,,,,,,Merc benz C 200 cgi AT,B1447N,Modalku
,,,,,,,,,,,,Toyota Vellfire Z 2.4 AT,D1631CP,Modalku
,,,,,,,,,,,,Mazda Mazda 2 1.5L HB S M/T MT,B1160KKY,Modalku
,,,,,,,,,,,,Honda Honda hr-v 1.5 E at AT,B1774VMZ,Modalku
,,,,,,,,,,,,Honda Ayla 1.0 MT MT,B2930SOZ,Modalku
,,,,,,,,,,,,Honda Mobilio RS AT,B1097TIN,Modalku
,,,,,,,,,,,,Toyota Grand New Avanza 1.3 G AT  AT,B1941COM,Modalku
,,,,,,,,,,,,Daihatsu Granmax MT,F8979GU,Modalku
,,,,,,,,,,,,Toyota Inova AT,B1525EZE,Modalku
,,,,,,,,,,,,HYUNDAI H-1 2.4 AT AT,B1649TMI,Modalku
,,,,,,,,,,,,Honda CRV RM3 2WD2.4AT AT,B1887BJJ,Modalku
,,,,,,,,,,,,Nissan Juke 1.5 4X2 at AT,B1783BMP,Modalku
,,,,,,,,,,,,Nissan Grand livina sv AT,B1353TZE,Modalku
,,,,,,,,,,,,Nissan Juke AT,B1356NYI,Modalku
,,,,,,,,,,,,Daihatsu AYLA M MT,B1309TMS,Modalku
,,,,,,,,,,,,Mitsubishi Pajero exceed AT,B1873ELS,Modalku
,,,,,,,,,,,,Toyota Avanza e MT,B1866ZUO,Modalku
,,,,,,,,,,,,Honda Odyssey AT,B1237J,Modalku
,,,,,,,,,,,,Daihatsu Terios tx AT,B1619TZE,Modalku
,,,,,,,,,,,,Daihatsu Gran Max 1.3D MT,B1986ERQ,Modalku
,,,,,,,,,,,,Suzuki Ertiga GL MT,F1802NH,Modalku
,,,,,,,,,,,,Nissan Elgrand AT,A1461DJ,Modalku
,,,,,,,,,,,,Nissan Elgrand AT,B1031XD,Modalku
,,,,,,,,,,,,Suzuki APV GL 1.5 mt MT,A1731ZS,Modalku
,,,,,,,,,,,,Mitsubishi Pajero Sport 2.4 L Dakkar AT,B1281CLT,Modalku
,,,,,,,,,,,,Suzuki Ertiga GL  MT,B2240FMH,Modalku
,,,,,,,,,,,,Suzuki APV GL 1.5 MT,A1640PB,Modalku
,,,,,,,,,,,,Honda HRV AT,B1353FRY,Modalku
,,,,,,,,,,,,Mazda Mazda 5 AT,B310MW,Modalku
,,,,,,,,,,,,Mitsubishi Epander AT,B1004ZKK,Modalku
,,,,,,,,,,,,Toyota Calya MT,B1237PIE,Modalku
,,,,,,,,,,,,Toyota Innova G AT,B1507UJ,Modalku
,,,,,,,,,,,,Honda Civic 1.8 AT,B2495WBD,Modalku
,,,,,,,,,,,,Mazda Cx-5 2.0L AT AT,B1635KYS,Modalku
,,,,,,,,,,,,Honda Freed AT,B2841KMC,Modalku
,,,,,,,,,,,,Honda Crv 2.0 AT,B1375ujf,Modalku
,,,,,,,,,,,,Toyota Alphard 2.4 AT,B2651PBQ,Modalku
,,,,,,,,,,,,Mazda Mazda 2 GT  AT,B1608JVC,Modalku
,,,,,,,,,,,,Toyota Yaris s AT,B2035KFG,Modalku
,,,,,,,,,,,,Toyota New Avanza Veloz 1.5 AT  AT,B1575KZV,Modalku
,,,,,,,,,,,,Toyota Calya G 1.2 AT,B1459PIY,Modalku
,,,,,,,,,,,,Mitsubishi Outlander AT,B2921SBB,Modalku
,,,,,,,,,,,,Toyota New Avanza G MT  MT,B1813CMR,Modalku
,,,,,,,,,,,,Toyota Agya 1.0 TRD AT,B1160KZT,Modalku
,,,,,,,,,,,,Honda Crv 2.4 AT,D1279YVH,Modalku
,,,,,,,,,,,,Chevrolet Orlando LT 1.8L AT AT,B1707KJ,Modalku
,,,,,,,,,,,,Mitsubishi Expander 1.5 Ultimate AT,B1916NZJ,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G AT AT,B1689CYK,Modalku
,,,,,,,,,,,,Nissan GR LIVINA 1.5AT X GEAR AT,B2590PBN,Modalku
,,,,,,,,,,,,Nissan Serena higway star AT,Bl1257TF,Modalku
,,,,,,,,,,,,Honda Accord VTIL AT,B1959SD,Modalku
,,,,,,,,,,,,Daihatsu Xenia xi AT,B1153WFG,Modalku
,,,,,,,,,,,,Mitsubishi Expander  AT,B1051CZO,Modalku
,,,,,,,,,,,,Suzuki Futura st 150 MT,B1667TFW,Modalku
,,,,,,,,,,,,Suzuki Apv gc MT,B2197BBB,Modalku
,,,,,,,,,,,,Daihatsu Ayla M 1.0 AT,B1035NRZ,Modalku
,,,,,,,,,,,,Mitsubishi Mirage GLS 1.2 AT,B1989PYO,Modalku
,,,,,,,,,,,,Suzuki Apv GX Arena AT,B1245SKJ,Modalku
,,,,,,,,,,,,Nissan Elgrand HWS AT,B747AGP,Modalku
,,,,,,,,,,,,Nissan Grand Livina SV 1.5 AT,B1436CKM,Modalku
,,,,,,,,,,,,Honda HRV E AT,B1819UID,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.2 R MT 2016 MT,B2889TKS,Modalku
,,,,,,,,,,,,Nissan Grandlivina 1.5 XV at 2015 AT,B1443PRV,Modalku
,,,,,,,,,,,,Honda Accord AT,D1188HX,Modalku
,,,,,,,,,,,,Honda Civic AT,B1747SAE,Modalku
,,,,,,,,,,,,Mazda Mazda 2 R AT,B1619CML,Modalku
,,,,,,,,,,,,KIA KIA Picanto  MT,F1679HX,Modalku
,,,,,,,,,,,,Toyota Camry 2.5 v at AT,A1048VJ,Modalku
,,,,,,,,,,,,Toyota Rush G 1.5 AT,B1710WYF,Modalku
,,,,,,,,,,,,Toyota Fortuner G Lux AT,B2708STI,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.2r MT,B1648ERP,Modalku
,,,,,,,,,,,,Honda Jazz 1.5 E A/T AT,A1225VE,Modalku
,,,,,,,,,,,,Honda Jazz 1.5s mt MT,B2808UFI,Modalku
,,,,,,,,,,,,Toyota Innova e mt bensin MT,B1412SRX,Modalku
,,,,,,,,,,,,Toyota Agya G 1.2  AT,B2589BYD,Modalku
,,,,,,,,,,,,Toyota Camry 3.0  AT,B1267EBE,Modalku
,,,,,,,,,,,,Honda Crv 2.0 AT,B2552JC,Modalku
,,,,,,,,,,,,Nissan Grandlivina Serena HWS 2.0 AT,B2764PBH,Modalku
,,,,,,,,,,,,Nissan Serena hws AT,B2339WU,Modalku
,,,,,,,,,,,,Toyota Agya 1.0 G AT  AT,B1646NOB,Modalku
,,,,,,,,,,,,Toyota Grand New Innova G Lux  AT,B1156SOW,Modalku
,,,,,,,,,,,,Suzuki Suzuki Ertiga GX AT,B2360BIG,Modalku
,,,,,,,,,,,,Mazda 2 HB L Sport AT,B2683TBE,Modalku
,,,,,,,,,,,,Toyota Avanza 1.3 G at  AT,B2642UKB,Modalku
,,,,,,,,,,,,Suzuki Mega Carry pick up AC PS MT,B9821FAZ,Modalku
,,,,,,,,,,,,Suzuki Ertiga GX 4x2 AT  AT,B1370BYP,Modalku
,,,,,,,,,,,,Daihatsu Terios TS MT,B1054FKU,Modalku
,,,,,,,,,,,,Nissan Grand livina xv AT,B1485PRQ,Modalku
,,,,,,,,,,,,Daihatsu Gran Max Blind Van MT,B9490NCF,Modalku
,,,,,,,,,,,,Suzuki Scross 1.5 MT,B1236ZKS,Modalku
,,,,,,,,,,,,Mercedes benz Mercedes benz Mercedes benz,B1870KMX,Modalku
,,,,,,,,,,,,Kia Sportage II AT,B1658NZ,Modalku
,,,,,,,,,,,,Suzuki Carry Real Van Futura 1.5 MT,B1856VKT,Modalku
,,,,,,,,,,,,Honda Civic 1.8 AT,B2127TC,Modalku
,,,,,,,,,,,,Suzuki Ertiga GL BDL BLWR AT,B2660DZW,Modalku
,,,,,,,,,,,,Toyota TOYOTA/NEW AVANZA 1.3G M/T (F651RM-GMMFJ) MT,B1726GVJ,Modalku
,,,,,,,,,,,,Toyota Yaris E AT AT,F1759HS,Modalku
,,,,,,,,,,,,Toyota Innova G bensin AT,B2895BIS,Modalku
,,,,,,,,,,,,Nissan Evalia 1.5 AT,B1583KYG,Modalku
,,,,,,,,,,,,Daihatsu Grand max 1.5 D AC/PS MT,B1361PZF,Modalku
,,,,,,,,,,,,Nissan March 1.2 L MT,B1523KYW,Modalku
,,,,,,,,,,,,Honda Honda CRV 2.0  AT,F1423HT,Modalku
,,,,,,,,,,,,Honda HRV 1.8 Prestige RS AT  AT,B2087TYV,Modalku
,,,,,,,,,,,,Daihatsu Terios TX MT,B1912URK,Modalku
,,,,,,,,,,,,Toyota Avanza g MT,B1002EYB,Modalku
,,,,,,,,,,,,Toyota Kijang Innova G 2.0 bensin AT,B1904NFM,Modalku
,,,,,,,,,,,,Daihatsu Ayla 1.0X  MT,B1110CZL,Modalku
,,,,,,,,,,,,Daihatsu Xenia x  MT,B1169ZFR,Modalku
,,,,,,,,,,,,Honda Brio Satya 1.2 E AT  AT,B2283BKI,Modalku
,,,,,,,,,,,,Mercedes benz E250 CGI AT,B1416ZES,Modalku
,,,,,,,,,,,,Honda Mobilio e  AT,B2633FMR,Modalku
,,,,,,,,,,,,Nissan Juke RX CVT AT,B1778TOY,Modalku
,,,,,,,,,,,,Mitsubishi Tirton 2.5 sc HDX 4x4 MT MT,B9928PAJ,Modalku
,,,,,,,,,,,,Suzuki Karimun wagon 1.0 GA MT MT,B1911ZVH,Modalku
,,,,,,,,,,,,BMW 320i AT,B1360DS,Modalku
,,,,,,,,,,,,Nissan Xtrail 2.0 AT  AT,B1107CYC,Modalku
,,,,,,,,,,,,Suzuki S-cross AT,B8246VO,Modalku
,,,,,,,,,,,,Toyota Avanza S MT,B1902VW,Modalku
,,,,,,,,,,,,Toyota Yaris  AT,B1142UOZ,Modalku
,,,,,,,,,,,,Nissan Elgrand 2.5 AT,B1091UMD,Modalku
,,,,,,,,,,,,Toyota Innova G 2.0 bensin MT,F1165GS,Modalku
,,,,,,,,,,,,Suzuki Apv GX 1.5 mt MT,F1126LT,Modalku
,,,,,,,,,,,,HONDA NEW JAZZ S 1.5 A/T,B1988DH,Modalku
,,,,,,,,,,,,NISSAN EVALIA 1.5 XV AT,B2940SFW,Modalku
,,,,,,,,,,,,NISSAN GRAND LIVINA HWS1.5A/T,B1048TMP,Modalku
,,,,,,,,,,,,Toyota Yaris s AT,F1688JX,Modalku
,,,,,,,,,,,,HONDA NEW JAZZ RS 1.5 A/T,B1979VMT,Modalku
,,,,,,,,,,,,MITSUBISHI PAJERO DAKAR 4X4 AT,DA1832TAX,Modalku
,,,,,,,,,,,,Toyota Alphard G 2.4 AT,B2871SXI,Modalku
,,,,,,,,,,,,TOYOTA ETIOS VALCO G 1.2 MT,B1412EMN,Modalku
,,,,,,,,,,,,Honda Stream 1.7 AT,B1658tgy,Modalku
,,,,,,,,,,,,"HONDA CRV RE1 2WD 2,4 AT",B1730KLS,Modalku
,,,,,,,,,,,,HONDA FREED S A/T,B2252FMI,Modalku
,,,,,,,,,,,,MITSUBISHI XPANDER 1.5 ULT AT,B2250UKE,Modalku
,,,,,,,,,,,,NISSAN SERENA HIGHWAY2.0A/T,B1023SMC,Modalku
,,,,,,,,,,,,Toyota Camry g AT,B8008RFP,Modalku
,,,,,,,,,,,,Honda CRv 2.0 4x2 at AT,D1802XGE,Modalku
,,,,,,,,,,,,Honda Civic AT,B1341JRA,Modalku
,,,,,,,,,,,,Nissan Livina x gear MT,B2588KGY,Modalku
,,,,,,,,,,,,Daihatsu Granmax minibus 1.3 MT,B2712UKH,Modalku
,,,,,,,,,,,,DAIHATSU AYLA 1.0 X DELUXE,B2694TKY,Modalku
,,,,,,,,,,,,SUZUKI KARIMUN WGN R AGS GL,D1060AGC,Modalku
,,,,,,,,,,,,Toyota Avanza e AT,F1342CK,Modalku
,,,,,,,,,,,,Toyota Toyota Kijang Innova G  AT,B1762BRJ,Modalku
,,,,,,,,,,,,DAIHATSU SIRION ALL NEW 1.3AT,B2572PBU,Modalku
,,,,,,,,,,,,MAZDA MAZDA,B1241WKR,Modalku
,,,,,,,,,,,,Suzuki APV GX arena MT,B1638UOV,Modalku
,,,,,,,,,,,,Honda CRV RD4x2  MT,B1088JLP,Modalku
,,,,,,,,,,,,TOYOTA AVANZA E M/T,B1736BOQ,Modalku
,,,,,,,,,,,,Toyota Fortuner 2.5 G AT Diesel AT,L1909KY,Modalku
,,,,,,,,,,,,TOYOTA GRAND NEW VELOZ 1.5MT,B2151TFA,Modalku
,,,,,,,,,,,,Toyota Avanza G AT,B1847FRV,Modalku
,,,,,,,,,,,,Honda BRIO AT,B2347TIC,Modalku
,,,,,,,,,,,,Daihatsu Xenia AT,B2746SII,Modalku
,,,,,,,,,,,,Daihatsu Sigra r MT,B2808byw,Modalku
,,,,,,,,,,,,Daihatsu Grandmax 1.3 STD MT MT,B1297BZC,Modalku
,,,,,,,,,,,,Mercedes benz C230 CKD AT AT,B1208PU,Modalku
,,,,,,,,,,,,HONDA BRIO SATYA 1.2 E CVT,F1281FAB,Modalku
,,,,,,,,,,,,Daihatsu Sigra x  MT,F1103rn,Modalku
,,,,,,,,,,,,TOYOTA CALYA 1.2 G AT,B2747BYH,Modalku
,,,,,,,,,,,,Honda CRV RM3 2 WD 2.4 AT CKD AT,B1560PJJ,Modalku
,,,,,,,,,,,,Toyota New camry 2.4 V at AT,B2657KS,Modalku
,,,,,,,,,,,,NISSAN SERENA HIGHWAY,B1134TFS,Modalku
,,,,,,,,,,,,Honda BRIO SATYA 1.2 CC AT AT,B2216PKC,Modalku
,,,,,,,,,,,,Honda Crv 2.4At AT,B1842CLR,Modalku
,,,,,,,,,,,,Nissan March l 1.2 AT,B1309PZQ,Modalku
,,,,,,,,,,,,Daihatsu Ayla r AT,B1655ZKK,Modalku
,,,,,,,,,,,,Suzuki Baleno dx AT,F1064CF,Modalku
,,,,,,,,,,,,Suzuki Baleno IKIFS 4x2 MT,B2554UKN,Modalku
,,,,,,,,,,,,Toyota Yaris E AT,F1787AK,Modalku
,,,,,,,,,,,,Honda Brio E AT,E1644QF,Modalku
,,,,,,,,,,,,DAIHATSU GRAN MAX BLDVN 1.3STD,B9769ucq,Modalku
,,,,,,,,,,,,Daihatsu Sigra R MT,B1637EZF,Modalku
,,,,,,,,,,,,Suzuki APV SGX 1.5  MT,B1132SVI,Modalku
,,,,,,,,,,,,Nissan Xtrail 2.5 st at AT,B1873ZVE,Modalku
,,,,,,,,,,,,ISUZU PANTHER,B8302BR,Modalku
,,,,,,,,,,,,NISSAN SERENA HIGHWAY2.0A/T,B1541WMF,Modalku
,,,,,,,,,,,,Honda Brio E  AT,B2782BFP,Modalku
,,,,,,,,,,,,Daihatsu Granmax MT,B1293BMD,Modalku
,,,,,,,,,,,,Toyota Calya 1.2G at AT,B1591JVD,Modalku
,,,,,,,,,,,,Toyota Etios E MT,B1815FOF,Modalku
,,,,,,,,,,,,Toyota Avanza e AT,B1682UYC,Modalku
,,,,,,,,,,,,Toyota Soluna gli MT,T1548KL,Modalku
,,,,,,,,,,,,SUZUKI KARIMUN WAGON R GX MT,B1378BYR,Modalku
,,,,,,,,,,,,Honda Accord 2.4at AT,B1383CDY,Modalku
,,,,,,,,,,,,TOYOTA AVANZA S VVT-I M/T,B2339SXI,Modalku
,,,,,,,,,,,,SUZUKI,B8330BT,Modalku
,,,,,,,,,,,,HONDA FREED S A/T,F1015HL,Modalku
,,,,,,,,,,,,Mazda Mazda 2 R at AT,B1251ZGZ,Modalku
,,,,,,,,,,,,SUZUKI ERTIGA GL A/T,B2713PJX,Modalku
,,,,,,,,,,,,Daihatsu Grandmax minibus D FH MT,B1568BYQ,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G AT,B2532BIF,Modalku
,,,,,,,,,,,,Mitsubishi Xpander 1.5 L Ultimate AT AT,B2433UKW,Modalku
,,,,,,,,,,,,DAIHATSU GRAN MAX 1.5M/T D STD,B1480PZC,Modalku
,,,,,,,,,,,,Toyota Velfire 2.4 at AT,B819BP,Modalku
,,,,,,,,,,,,DAIHATSU XENIA VVT-I XI,B1243SKZ,Modalku
,,,,,,,,,,,,HONDA NEW CRV 2.4 AT,B1108LP,Modalku
,,,,,,,,,,,,Toyota Fortuner 2.5 G AT,B2885SBB,Modalku
,,,,,,,,,,,,Daihatsu Daihatsu MT,B2676SYO,Modalku
,,,,,,,,,,,,HONDA CIVIC 1.8 L AT,B1825FBK,Modalku
,,,,,,,,,,,,Suzuki Carry Pick UP AC PS  MT,B9007BAU,Modalku
,,,,,,,,,,,,DAIHATSU SIGRA 1.0 D,B2123SYD,Modalku
,,,,,,,,,,,,Honda Accord AT,B2416TBV,Modalku
,,,,,,,,,,,,Suzuki Apv AT,B1250SFH,Modalku
,,,,,,,,,,,,Honda HRV S cvt AT,B2492FBG,Modalku
,,,,,,,,,,,,Dodge Journey 2.4  AT,B1825PRL,Modalku
,,,,,,,,,,,,Suzuki St 150 pick up MT,F8464GB,Modalku
,,,,,,,,,,,,Daihatsu Ayla 1.0 X MT  MT,B1693PYO,Modalku
,,,,,,,,,,,,Toyota Agya 1.2 G MT  MT,F1655PS,Modalku
,,,,,,,,,,,,Suzuki Carry pick up MT,F8151BA,Modalku
,,,,,,,,,,,,Chevrolet Captiva 2.4L LT A/T AT,BM1906QN,Modalku
,,,,,,,,,,,,Honda Civic FB  AT,D1470ACA,Modalku
,,,,,,,,,,,,HONDA MOBILIO RS MT,B2788TFM,Modalku
,,,,,,,,,,,,TOYOTA GRAND NEW AVANZA 1.3G MT,B2462PFE,Modalku
,,,,,,,,,,,,NISSAN NEW XTRAIL 2.5 CVT,F1806MT,Modalku
,,,,,,,,,,,,DAIHATSU LUXIO 1.5 D M/T STD,B1326TOZ,Modalku
,,,,,,,,,,,,Daihatsu Granmax pickup MT,B9288KAE,Modalku
,,,,,,,,,,,,CHEVROLET CAPTIVA,B1279SFG,Modalku
,,,,,,,,,,,,Honda Honda BRv 1.5L prestige cvt AT,B1547vza,Modalku
,,,,,,,,,,,,Nissan Serena ct AT,B1644SZE,Modalku
,,,,,,,,,,,,TOYOTA AVANZA,B2655FVG,Modalku
,,,,,,,,,,,,Mercedes Benz  E 300 AT,B1792KBN,Modalku
,,,,,,,,,,,,HONDA BRIO E A/T,B1316JUP,Modalku
,,,,,,,,,,,,Mitsubishi Mitsubishi xpander 1.5 L exceed AT,B2750BRK,Modalku
,,,,,,,,,,,,Mitsubishi Grandis 2.4 MVC AT,B1974O,Modalku
,,,,,,,,,,,,TOYOTA INNOVA G A/T DIESEL,F1306TF,Modalku
,,,,,,,,,,,,Toyota Vios g AT,F1812KY,Modalku
,,,,,,,,,,,,Honda Odyssey L AT,B2757KVI,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G AT,B1291NZH,Modalku
,,,,,,,,,,,,Mazda 2 v hb AT,B1475eod,Modalku
,,,,,,,,,,,,Suzuki New Carry Pick Up 1.5 AC PS MT,B9315BAU,Modalku
,,,,,,,,,,,,TOYOTA CALYA 1.2 G AT,B1788PYU,Modalku
,,,,,,,,,,,,Toyota New Yaris S TRD  AT,B2067TYX,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.2 R MT MT,B1134ZKV,Modalku
,,,,,,,,,,,,TOYOTA AGYA 1.2 G AT,B2408TZV,Modalku
,,,,,,,,,,,,Mazda Mazda 2 type V AT,B1243UVL,Modalku
,,,,,,,,,,,,Nissan Grand livina xv AT,B1812BRX,Modalku
,,,,,,,,,,,,SUZUKI SX4 A/T,B1465AQ,Modalku
,,,,,,,,,,,,Mazda 2 AT,T1581MR,Modalku
,,,,,,,,,,,,Ford Eco Sport 1.5 L 4X2  AT,B2570KVD,Modalku
,,,,,,,,,,,,Honda HRV SE AT,B2346TIH,Modalku
,,,,,,,,,,,,Toyota Calya G AT,B1946WOZ,Modalku
,,,,,,,,,,,,Mazda Biante 2.0 AT,A1167EX,Modalku
,,,,,,,,,,,,Chevrolet Captiva 2.0 AT,B1748TOF,Modalku
,,,,,,,,,,,,HONDA BRIO E M/T,F1693NC,Modalku
,,,,,,,,,,,,HONDA MOBILIO E-CVT,F1306TP,Modalku
,,,,,,,,,,,,Mitsubishi Mitsubishi kuda GLS bensin 2004 MT,B1291CVF,Modalku
,,,,,,,,,,,,Honda Honda City E RS triptronik AT,A1800VS,Modalku
,,,,,,,,,,,,Toyota Avanza g MT MT,B2350PFJ,Modalku
,,,,,,,,,,,,Daihatsu Sirion AT,B1098KOC,Modalku
,,,,,,,,,,,,Nissan Evalia  MT,B2764TFC,Modalku
,,,,,,,,,,,,Toyota Calya G  AT,B2035BKN,Modalku
,,,,,,,,,,,,Volkswagen Polo 1.2 GT TSI AT,F1340PQ,Modalku
,,,,,,,,,,,,Honda Freed S 1.5 At AT,B1027VMP,Modalku
,,,,,,,,,,,,Mitsubishi Pajero D 2.5 exeed  AT,B1121SJC,Modalku
,,,,,,,,,,,,Toyota Vios G  AT,B1402SAM,Modalku
,,,,,,,,,,,,Honda Brio e  AT,B1795NIB,Modalku
,,,,,,,,,,,,NISSAN GRAND LIVINA 1.5A/T XV,B193RMT,Modalku
,,,,,,,,,,,,Honda Mobilio 1.5 E prestige CVT AT,B1216SYW,Modalku
,,,,,,,,,,,,Toyota Alphard 3.0 AT,B2577TBL,Modalku
,,,,,,,,,,,,Chevrolet  Spin 1.3 LTZ Diesel  MT,B1443SYU,Modalku
,,,,,,,,,,,,Toyota Kijang Innova G bensin  AT,B1407JVD,Modalku
,,,,,,,,,,,,HONDA ACCORD VTI L 2.4 A/T,B1938PAC,Modalku
,,,,,,,,,,,,Toyota Yaris S Limited  AT,B1601ZUO,Modalku
,,,,,,,,,,,,Bmw X3 AT,B1580BLP,Modalku
,,,,,,,,,,,,Jaguar Xf AT,B2431STU,Modalku
,,,,,,,,,,,,Daihatsu Luxio X MT MT,B2824SZS,Modalku
,,,,,,,,,,,,"DAIHATSU GRAN MAX 1,3 D",B2421BZO,Modalku
,,,,,,,,,,,,DAIHATSU NEW XENIA R A/T DLX,B1114TMK,Modalku
,,,,,,,,,,,,HONDA CIVIC 1.8 L AT,B1120SAA,Modalku
,,,,,,,,,,,,Honda Brio E  MT,B2579TFF,Modalku
,,,,,,,,,,,,DAIHATSU TERIOS R MT ADV,B2045KFQ,Modalku
,,,,,,,,,,,,Honda Freed e AT,B2100TVJ,Modalku
,,,,,,,,,,,,Toyota Vios G at  AT,B8254PA,Modalku
,,,,,,,,,,,,Mercedes Benz  C200 CGI  AT,B2676SEB,Modalku
,,,,,,,,,,,,Daihatsu Terios tx AT,F1796OP,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.2 X MT MT,B2247SIO,Modalku
,,,,,,,,,,,,SUZUKI APV GX ARENA 1.5 M/T,B1100PZV,Modalku
,,,,,,,,,,,,Daihatsu Grandmax (Blind Van) MT,B9314FCK,Modalku
,,,,,,,,,,,,TOYOTA INNOVA G A/T BENSIN,B1034UKF,Modalku
,,,,,,,,,,,,Toyota Calya G  AT,B2239ZUM,Modalku
,,,,,,,,,,,,Nissan March XS AT,B2005TFD,Modalku
,,,,,,,,,,,,Mazda Mazda CX 5 Grand Touring  AT,B1713PZP,Modalku
,,,,,,,,,,,,TOYOTA NEW AVANZA G 1.3 AT,B1877SZP,Modalku
,,,,,,,,,,,,Nissan Xtrail 2.0 AT,B1297UYE,Modalku
,,,,,,,,,,,,Honda All New CR-V Prestige 2.4 AT AT,B2840KLP,Modalku
,,,,,,,,,,,,Daihatsu Granmax Pick up MT,B9332NAM,Modalku
,,,,,,,,,,,,HONDA MOBILIO E-CVT,B1390KYX,Modalku
,,,,,,,,,,,,Honda Brio E AT,B2937UFI,Modalku
,,,,,,,,,,,,Honda CRV 2 WD 2.0 AT CKD AT,B1890ELS,Modalku
,,,,,,,,,,,,Toyota Avanza G 1.3 MT,B1752NZF,Modalku
,,,,,,,,,,,,TOYOTA NEW AVANZA G 1.3 AT,B2514UBG,Modalku
,,,,,,,,,,,,TOYOTA GRAND NEW AVANZA E MT,B2017UKO,Modalku
,,,,,,,,,,,,DAIHATSU XENIA VVT-I LI,F1439CJ,Modalku
,,,,,,,,,,,,Honda HONDA City AT,B1619CBB,Modalku
,,,,,,,,,,,,Nissan Grand Livina 1.5 SV AT,B1026UOT,Modalku
,,,,,,,,,,,,Daihatsu Xenia X MT 1.3 MT,B1207NOE,Modalku
,,,,,,,,,,,,Nissan Xtrail 2.5 ST  AT,B1663EML,Modalku
,,,,,,,,,,,,Honda Crv 2.4 AT,B1208WCQ,Modalku
,,,,,,,,,,,,Wuling Confero S 1.5 L MT,B2474TRZ,Modalku
,,,,,,,,,,,,Toyota Agya G TRD MT,B1025COF,Modalku
,,,,,,,,,,,,Honda Accord 2.4 vtil AT,B1038PAD,Modalku
,,,,,,,,,,,,Merc Benz C 230 CKD AT AT,B1785KU,Modalku
,,,,,,,,,,,,Toyota	Etios valco G 	MT,B1962TRF,Modalku
,,,,,,,,,,,,Toyota Avanza E 1.3 MT MT,B1534BYA,Modalku
,,,,,,,,,,,,TOYOTA GRAND NEW AVANZA G AT,B2007UFR,Modalku
,,,,,,,,,,,,Daihatsu Luxio 1.5 X AT AT,B2112BKA,Modalku
,,,,,,,,,,,,TOYOTA,B1806vv,Modalku
,,,,,,,,,,,,Daihatsu Taruna FX F520 RV MT,B8252JT,Modalku
,,,,,,,,,,,,Mitsubishi MITS L 300 pickup MT,B9276WUT,Modalku
,,,,,,,,,,,,Honda HRV 1.5 E CVT AT,B2785BFF,Modalku
,,,,,,,,,,,,Mazda Mazda 2 1.5 L HB S AT  AT,F1107HG,Modalku
,,,,,,,,,,,,Nissan Teana 2.5 cvt 4x2 AT,B1803JR,Modalku
,,,,,,,,,,,,Hyundai Grand avega 1.4 A/T AT,B1465WYG,Modalku
,,,,,,,,,,,,Honda Freed 1.5 E at AT,B2413EBA,Modalku
,,,,,,,,,,,,Suzuki Ertiga GX MT,F1390LY,Modalku
,,,,,,,,,,,,Toyota Yaris S MT,F1699YN,Modalku
,,,,,,,,,,,,Toyota Innova G AT,B2353UFJ,Modalku
,,,,,,,,,,,,Daihatsu Ayla m  MT,A1287VCA,Modalku
,,,,,,,,,,,,DAIHATSU TERIOS X MT EXTRA,B2421BOO,Modalku
,,,,,,,,,,,,Suzuki Suzuki Ertiga gl MT,F1022BV,Modalku
,,,,,,,,,,,,NISSAN GRAND LIVINA 1.5 A/TSV,B1543PO,Modalku
,,,,,,,,,,,,Honda Jazz Rs AT,B1200FOS,Modalku
,,,,,,,,,,,,DAIHATSU GRAN MAX BLDVN 1.3STD,B9769J,Modalku
,,,,,,,,,,,,NISSAN GRAND LIVINA XV 1.5 A/T,B2070TVL,Modalku
,,,,,,,,,,,,TOYOTA RUSH S VVTI 1.5 A/T,B1110UMG,Modalku
,,,,,,,,,,,,Mazda GT AT,B1828URZ,Modalku
,,,,,,,,,,,,SUZUKI APV LUXURY MT R17,B1447FKP,Modalku
,,,,,,,,,,,,Toyota HIlux 2.5E DC MT MT,B2787WGY,Modalku
,,,,,,,,,,,,TOYOTA AVANZA VELOZ 1.5 MT,B1128NYR,Modalku
,,,,,,,,,,,,Daihatsu Ayla 1.0 X AT AT,B2707BRP,Modalku
,,,,,,,,,,,,Hyundai Grand avega  AT,B1869UVG,Modalku
,,,,,,,,,,,,Toyota Vios 1.5 G AT  AT,B1073WAB,Modalku
,,,,,,,,,,,,Mazda CX-3 2.0 touring AT AT,B2353KFU,Modalku
,,,,,,,,,,,,Honda Jazz 1 5 IDSI  AT,B8682QA,Modalku
,,,,,,,,,,,,Toyota Yaris TRD SPT 1.5  AT,B1931NRQ,Modalku
